model,task,errorType,id,title,source,publishedAt,language,relevance,eventType,impactDirection,expected,predicted,evidenceSentenceIds,symbols,sectors,rationale,rawOutput,url
xlmr-relevance,relevance,label_mismatch,6a31634a8dd189ed627e3634,ब्याजदर करिडोर प्रभावकारी बनाउन स्थायी निक्षेप सुविधा अनिवार्य,बिजनेस – Page 6 – Online Khabar,2026-06-02T09:14:47.000Z,ne,indirect,monetary_liquidity,uncertain,indirect,not_relevant,S1;S2;S3,,Banking,"छानिएका प्रमाण वाक्यहरूले तरलता, ब्याजदर वा मौद्रिक नीतिसम्बन्धी अवस्था देखाउँछन्। यसले NEPSE सँग indirect सम्बन्ध राख्छ र सम्भावित प्रभावको संयन्त्र वित्तीय तरलता हो।",,https://www.onlinekhabar.com/2026/06/1945105/fixed-deposit-facility-mandatory-to-make-interest-rate-corridor-effective
xlmr-relevance,relevance,label_mismatch,6a2f0a578a1c034887d3084e,IPO Issue of Sanigad Hydro Limited Closing Today; Oversubscribed 5.88 Times So Far,ShareSansar,2026-06-04T00:52:00.000Z,en,direct,capital_action,bullish,direct,indirect,S1;S15;S16,SHL,Hydropower,"The IPO of Sanigad Hydro Limited has been oversubscribed 5.88 times and the company's issuer rating has been upgraded by ICRA Nepal, indicating strong investor demand and improved creditworthiness.",,https://www.sharesansar.com/newsdetail/ipo-issue-of-sanigad-hydro-limited-closing-today-oversubscribed-588-times-so-far-2026-06-04
xlmr-relevance,relevance,label_mismatch,6a2f0a578a1c034887d3084f,निगुरोको मूल्य बढ्यो,बिजनेस – Page 5 – Online Khabar,2026-06-04T06:28:23.000Z,ne,not_relevant,not_applicable,not_applicable,not_relevant,direct,S2,,,"यो समाचार स्थानीय कृषि उत्पादनको मूल्यसँग सम्बन्धित छ, जसको NEPSE वा सूचीकृत कम्पनीहरूसँग कुनै प्रत्यक्ष वा अप्रत्यक्ष सम्बन्ध छैन ।",,https://www.onlinekhabar.com/2026/06/1946410/the-price-of-black-pepper-has-increased
xlmr-relevance,relevance,label_mismatch,6a2f0a578a1c034887d30850,ग्लोबल आईएमई बैंकको अगुवाइमा सुपर तमोर जलविद्युत् आयोजनामा १९ अर्ब ऋण सम्झौता,बिजनेस – Page 5 – Online Khabar,2026-06-04T06:43:43.000Z,ne,direct,credit_financing,bullish,direct,indirect,S2;S4;S6,ADBL;GBIME;PRVU,Banking;Hydropower,बैंकहरूले ठूलो रकम कर्जा प्रवाह गर्दा ब्याज आम्दानी बढ्ने सम्भावना रहन्छ ।,,https://www.onlinekhabar.com/2026/06/1946425/global-ime-bank-leads-19-billion-loan-agreement-for-super-tamor-hydropower-project
xlmr-relevance,relevance,label_mismatch,6a2f0a578a1c034887d30851,१६६ मेगावाटको सुपर तमोर आयोजनालाई जुट्यो १९ अर्ब ऋण,बिजनेस – Page 5 – Online Khabar,2026-06-04T06:49:36.000Z,ne,direct,credit_financing,bullish,direct,indirect,S2;S3;S4;S8,GBIME;ADBL,Banking;Hydropower,विभिन्न बैंकहरूले जलविद्युत आयोजनामा ऋण प्रवाह गर्दा उनीहरूको कर्जा विस्तार र ब्याज आम्दानीमा वृद्धि हुन सक्छ ।,,https://www.onlinekhabar.com/2026/06/1946442/the-166-mw-super-tamor-project-has-secured-a-loan-of-19-billion
xlmr-relevance,relevance,label_mismatch,6a31634a8dd189ed627e3652,मौद्रिक नीतिका लागि राष्ट्र बैंकले माग्यो सुझाव,बिजनेस – Page 5 – Online Khabar,2026-06-05T07:51:47.000Z,mixed,indirect,monetary_liquidity,uncertain,indirect,direct,S1;S2;S3,,Banking,"The selected evidence reports liquidity, deposits, rates, or monetary-policy conditions relevant to market financing. This makes the record indirect to NEPSE and supports the monetary_liquidity label through the financing and liquidity mechanism.",,https://www.onlinekhabar.com/2026/06/1947212/nrb-seeks-suggestions-for-monetary-policy
xlmr-relevance,relevance,label_mismatch,6a2f0a578a1c034887d3085a,नबिल बैंकद्वारा नेपाल–भारत क्रस बोर्डर पीटूपी रेमिट्यान्स सेवा सञ्चालन,बिजनेस – Page 4 – Online Khabar,2026-06-07T08:14:17.000Z,ne,direct,project_operations,bullish,direct,not_relevant,S2;S3;S4;S5;S6;S10,NABIL,Banking,नयाँ रेमिट्यान्स सेवाको सुरुवातले बैंकको सेवा विस्तार गर्नुका साथै कारोबारको मात्रा र राजस्व बढाउन मद्दत पुर्‍याउन सक्छ।,,https://www.onlinekhabar.com/2026/06/1948546/nabil-bank-launches-nepal-india-cross-border-p2p-remittance-service
xlmr-relevance,relevance,label_mismatch,6a2f0a578a1c034887d3085b,भारतमा क्यूआरबाट भुक्तानी गर्ने नेपाली सपना अझै अधुरो,बिजनेस – Page 4 – Online Khabar,2026-06-07T16:05:00.000Z,ne,indirect,sector_industry,uncertain,indirect,not_relevant,S3;S4;S7;S9,,Banking;Finance,अन्तरदेशीय डिजिटल भुक्तानी र पी-टु-पी रेमिट्यान्स सेवाको सुरुवातले बैंक तथा वित्तीय संस्थाहरूको डिजिटल कारोबार र सेवाको विस्तारमा सहयोग पुर्‍याउन सक्छ ।,,https://www.onlinekhabar.com/2026/06/1948879/nepali-dream-of-making-payments-through-qr-in-india-still-unfulfilled
xlmr-relevance,relevance,label_mismatch,6a2f0a578a1c034887d3085d,"इप्पानमा विधान संशोधन विवाद चर्कियो, दुलालको आरोपको अध्यक्ष कार्कीद्वारा खण्डन",बिजनेस – Page 4 – Online Khabar,2026-06-08T08:45:12.000Z,ne,indirect,sector_industry,uncertain,indirect,not_relevant,S2;S3;S5;S11,,Hydropower,इप्पान जलविद्युत क्षेत्रका ७०० भन्दा बढी कम्पनीहरूको प्रतिनिधित्व गर्ने संस्था हो । यसको विधान संशोधन र नेतृत्व छनोटको प्रक्रियाले क्षेत्रको समग्र नीतिगत पैरवी र स्थिरतामा प्रभाव पार्न सक्ने सम्भावना रहन्छ ।,,https://www.onlinekhabar.com/2026/06/1949387/controversy-over-amendment-to-ippan-constitution-flares-up-chairman-karki-refutes-dulals-allegations
xlmr-relevance,relevance,label_mismatch,6a2f0a578a1c034887d30869,कुमारी बैंकको ‘ईआरपी’ एकीकृत डिजिटल कर्जा प्ल्याटफर्म सञ्चालनमा,बिजनेस – Page 2 – Online Khabar,2026-06-12T08:02:56.000Z,ne,direct,project_operations,bullish,direct,indirect,S2;S3;S8,KBL,Banking,नयाँ डिजिटल कर्जा प्ल्याटफर्मको सञ्चालनले बैंकको कर्जा विस्तारमा मद्दत पुग्ने र डिजिटल बैंकिङ सेवा मार्फत राजस्व वृद्धि हुने सम्भावना रहन्छ ।,,https://www.onlinekhabar.com/2026/06/1952369/kumari-banks-erp-integrated-digital-lending-platform-launched
xlmr-relevance,relevance,label_mismatch,6a2f0a578a1c034887d3086e,Traditional marketplaces in Nepal’s Tarai are shifting. So are crop yields,The Kathmandu Post - Money,2026-06-13T00:00:00.000Z,en,not_relevant,not_applicable,not_applicable,not_relevant,indirect,S1,,,"The content focuses on rural agricultural trade dynamics and local market structures in the Tarai region, which does not have a direct or documented mechanism affecting the NEPSE or listed securities.",,https://kathmandupost.com/money/2026/06/13/traditional-marketplaces-in-nepal-s-tarai-are-shifting-so-are-crop-yields
xlmr-direction,impactDirection,label_mismatch,6a2f0a578a1c034887d30827,"NEPSE Concludes The Week With 0.97% Gain and Turnover of Rs 17.75 Arba; Weekly Summary with Sector Comparison, Major Highlights, and More",ShareSansar,2026-05-24T03:37:00.000Z,en,direct,market_trading,bullish,bullish,bearish,S1;S5;S9;S10;S15;S16;S14,FMDBL;SABBL,,"The index closed higher for the week and is positioned above its short-term exponential moving averages, which suggests bullish sentiment.",,https://www.sharesansar.com/newsdetail/nepse-concludes-the-week-with-097-gain-and-turnover-of-rs-1775-arba-weekly-summary-with-sector-comparison-major-highlights-and-more-2026-05-24
xlmr-direction,impactDirection,label_mismatch,6a2f0a578a1c034887d3083a,कर्जा दिनै डराउन थाले बैंकर,बिजनेस – Page 8 – Online Khabar,2026-05-28T16:01:15.000Z,ne,indirect,monetary_liquidity,bearish,bearish,uncertain,S2;S3;S4;S6;S13;S14,,Banking,बैंकरहरूले कर्जा प्रवाहमा कडाइ गर्दा र राष्ट्र बैंकले सेयर बजारसँग सम्बन्धित क्षेत्रमा कर्जा नीति कडाइ गर्दा बजारमा तरलता संकुचन भई सेयर बजारमा नकारात्मक असर पर्न सक्छ।,,https://www.onlinekhabar.com/2026/05/1940900/bankers-are-afraid-to-give-loans
xlmr-direction,impactDirection,label_mismatch,6a2f0a578a1c034887d3083f,"सेयर बजारलाई उत्कृष्ट बजेट, यस्ता छन् समेटिएका विषय",बिजनेस – Page 7 – Online Khabar,2026-05-29T14:42:30.000Z,ne,direct,fiscal_macroeconomic,bullish,bullish,uncertain,S3;S4;S6;S9;S2,,Others,पूँजीगत लाभकर अन्तिम हुने नीतिगत व्यवस्थाले बजारमा अनिश्चितता र विवाद कम गर्ने देखिएकाले सरोकारवालाहरूले यसलाई सकारात्मक मान्नुका साथै करको दरमा भएको वृद्धिले लगानीकर्ताको खुद प्रतिफलमा असर पार्ने देखिन्छ।,,https://www.onlinekhabar.com/2026/05/1942670/excellent-budget-for-the-stock-market-these-are-the-topics-covered
xlmr-direction,impactDirection,label_mismatch,6a2f0a578a1c034887d30840,"NEPSE Concludes The Week With 0.86% Gain and Turnover of Rs 16.87 Arba; Weekly Summary with Sector Comparison, Major Highlights, and More",ShareSansar,2026-05-31T03:08:00.000Z,en,direct,market_trading,bullish,bullish,bearish,S2;S6;S10;S11,,,The weekly index increase of 0.86% and technical indicators like the RSI and EMAs suggest a bullish sentiment in the market.,,https://www.sharesansar.com/newsdetail/nepse-concludes-the-week-with-086-gain-and-turnover-of-rs-1687-arba-weekly-summary-with-sector-comparison-major-highlights-and-more-2026-05-31
xlmr-direction,impactDirection,label_mismatch,6a2f0a578a1c034887d30842,"IPO for General Public: Sanigad Hydro Limited Issue 46,74,000 Units IPO Shares from Today",ShareSansar,2026-06-01T02:40:00.000Z,en,direct,capital_action,bullish,bullish,uncertain,S1;S12;S15,SHL,Hydropower,Sanigad Hydro Limited is raising capital through its IPO and has also received a rating upgrade from ICRA Nepal.,,https://www.sharesansar.com/newsdetail/ipo-for-general-public-sanigad-hydro-limited-issue-4674000-units-ipo-shares-from-today-2026-06-01
xlmr-direction,impactDirection,label_mismatch,6a2f0a578a1c034887d30844,"बजेटप्रति सेयर लगानीकर्ता निराश, तीन समूहगत सूचकमा उच्च प्रभाव",बिजनेस – Page 6 – Online Khabar,2026-06-01T09:35:31.000Z,ne,direct,fiscal_macroeconomic,bearish,bearish,uncertain,S2;S4;S5;S7;S15,NRIC,Non-Life Insurance;Others;Trading,"बजेटमा पूँजीगत लाभकर अल्पकालीनका लागि १० प्रतिशत र दीर्घकालीनका लागि साढे ७ प्रतिशत कायम गरिएको र केही आम्दानीमा थप करको आशय भएकाले लगानीकर्ताहरू असन्तुष्ट भएका छन्, जसले बजारमा गिरावट निम्त्याएको छ ।",,https://www.onlinekhabar.com/2026/06/1944391/stock-investors-disappointed-with-budget-high-impact-on-three-group-indicators
xlmr-direction,impactDirection,label_mismatch,6a2f0a578a1c034887d30845,पीपीपी मोडेलमा वेस्ट सेती ४०० केभी प्रसारण आयोजना अघि बढ्ने,बिजनेस – Page 6 – Online Khabar,2026-06-01T13:05:22.000Z,ne,indirect,sector_industry,bullish,bullish,uncertain,S2;S3;S4,,Hydropower,वेस्ट सेती ४०० केभी प्रसारण लाइन जस्ता ठूला पूर्वाधार आयोजनाले जलविद्युत् उत्पादन र प्रसारण प्रणालीबीचको अवरोध कम गरी ऊर्जा क्षेत्रको उत्पादन क्षमता र बिक्री क्षमतामा सकारात्मक प्रभाव पार्न सक्छ ।,,https://www.onlinekhabar.com/2026/06/1944562/west-seti-400-kv-transmission-project-to-move-forward-under-ppp-model
xlmr-direction,impactDirection,label_mismatch,6a2f0a578a1c034887d30846,हिमालयन बैंक र यूनियन पेको सहकार्यमा ‘आरएमबी कार्ड’ सेवा सुरु,बिजनेस – Page 6 – Online Khabar,2026-06-01T13:15:21.000Z,ne,direct,project_operations,bullish,bullish,uncertain,S2;S6;S8,HBL,Banking,नयाँ आरएमबी कार्ड सेवाको माध्यमबाट बैंकले चिनियाँ भ्रमण गर्ने ग्राहकहरूबाट हुने कारोबार र सेवा शुल्क मार्फत राजस्व बढाउन सक्ने सम्भावना रहन्छ ।,,https://www.onlinekhabar.com/2026/06/1944577/rmb-card-service-launched-in-collaboration-with-himalayan-bank-and-union-pay
xlmr-direction,impactDirection,label_mismatch,6a31634a8dd189ed627e3606,Fire Incident Disrupts 5 MW Power Production at Jhapa Energy Limited,ShareSansar,2026-06-02T04:23:00.000Z,en,direct,sector_industry,bearish,bearish,uncertain,S1;S2;S3,JHAPA,Hydropower,The selected evidence reports a sector or company operating condition relevant to listed firms. This makes the record direct to NEPSE and supports the sector_industry label through the operations or capacity mechanism.,,https://www.sharesansar.com/newsdetail/fire-incident-disrupts-5-mw-power-production-at-jhapa-energy-limited-2026-06-02
xlmr-direction,impactDirection,label_mismatch,6a2f0a578a1c034887d3084e,IPO Issue of Sanigad Hydro Limited Closing Today; Oversubscribed 5.88 Times So Far,ShareSansar,2026-06-04T00:52:00.000Z,en,direct,capital_action,bullish,bullish,uncertain,S1;S15;S16,SHL,Hydropower,"The IPO of Sanigad Hydro Limited has been oversubscribed 5.88 times and the company's issuer rating has been upgraded by ICRA Nepal, indicating strong investor demand and improved creditworthiness.",,https://www.sharesansar.com/newsdetail/ipo-issue-of-sanigad-hydro-limited-closing-today-oversubscribed-588-times-so-far-2026-06-04
xlmr-direction,impactDirection,label_mismatch,6a2f0a578a1c034887d30850,ग्लोबल आईएमई बैंकको अगुवाइमा सुपर तमोर जलविद्युत् आयोजनामा १९ अर्ब ऋण सम्झौता,बिजनेस – Page 5 – Online Khabar,2026-06-04T06:43:43.000Z,ne,direct,credit_financing,bullish,bullish,uncertain,S2;S4;S6,ADBL;GBIME;PRVU,Banking;Hydropower,बैंकहरूले ठूलो रकम कर्जा प्रवाह गर्दा ब्याज आम्दानी बढ्ने सम्भावना रहन्छ ।,,https://www.onlinekhabar.com/2026/06/1946425/global-ime-bank-leads-19-billion-loan-agreement-for-super-tamor-hydropower-project
xlmr-direction,impactDirection,label_mismatch,6a2f0a578a1c034887d30851,१६६ मेगावाटको सुपर तमोर आयोजनालाई जुट्यो १९ अर्ब ऋण,बिजनेस – Page 5 – Online Khabar,2026-06-04T06:49:36.000Z,ne,direct,credit_financing,bullish,bullish,uncertain,S2;S3;S4;S8,GBIME;ADBL,Banking;Hydropower,विभिन्न बैंकहरूले जलविद्युत आयोजनामा ऋण प्रवाह गर्दा उनीहरूको कर्जा विस्तार र ब्याज आम्दानीमा वृद्धि हुन सक्छ ।,,https://www.onlinekhabar.com/2026/06/1946442/the-166-mw-super-tamor-project-has-secured-a-loan-of-19-billion
xlmr-direction,impactDirection,label_mismatch,6a2f0a578a1c034887d3085a,नबिल बैंकद्वारा नेपाल–भारत क्रस बोर्डर पीटूपी रेमिट्यान्स सेवा सञ्चालन,बिजनेस – Page 4 – Online Khabar,2026-06-07T08:14:17.000Z,ne,direct,project_operations,bullish,bullish,uncertain,S2;S3;S4;S5;S6;S10,NABIL,Banking,नयाँ रेमिट्यान्स सेवाको सुरुवातले बैंकको सेवा विस्तार गर्नुका साथै कारोबारको मात्रा र राजस्व बढाउन मद्दत पुर्‍याउन सक्छ।,,https://www.onlinekhabar.com/2026/06/1948546/nabil-bank-launches-nepal-india-cross-border-p2p-remittance-service
xlmr-direction,impactDirection,label_mismatch,6a2f0a578a1c034887d30865,NEPSE Records Marginal Gain of 2.57 Points After Consecutive Losing Sessions,ShareSansar,2026-06-10T09:44:00.000Z,en,direct,market_trading,neutral,neutral,bearish,S1;S5;S9;S13;S15;S17;S14;S10,AKJCL;KHPL;PBLD86,Hydropower;Trading,"The document reports the daily trading performance of the Nepal Stock Exchange (NEPSE), including index movement, turnover, sectoral performance, and specific stock activity.",,https://www.sharesansar.com/newsdetail/nepse-records-marginal-gain-of-257-points-after-consecutive-losing-sessions-2026-06-10
xlmr-direction,impactDirection,label_mismatch,6a2f0a578a1c034887d30869,कुमारी बैंकको ‘ईआरपी’ एकीकृत डिजिटल कर्जा प्ल्याटफर्म सञ्चालनमा,बिजनेस – Page 2 – Online Khabar,2026-06-12T08:02:56.000Z,ne,direct,project_operations,bullish,bullish,uncertain,S2;S3;S8,KBL,Banking,नयाँ डिजिटल कर्जा प्ल्याटफर्मको सञ्चालनले बैंकको कर्जा विस्तारमा मद्दत पुग्ने र डिजिटल बैंकिङ सेवा मार्फत राजस्व वृद्धि हुने सम्भावना रहन्छ ।,,https://www.onlinekhabar.com/2026/06/1952369/kumari-banks-erp-integrated-digital-lending-platform-launched
finbert-english-direction,impactDirection,label_mismatch,6a2f0a578a1c034887d30865,NEPSE Records Marginal Gain of 2.57 Points After Consecutive Losing Sessions,ShareSansar,2026-06-10T09:44:00.000Z,en,direct,market_trading,neutral,neutral,bullish,S1;S5;S9;S13;S15;S17;S14;S10,AKJCL;KHPL;PBLD86,Hydropower;Trading,"The document reports the daily trading performance of the Nepal Stock Exchange (NEPSE), including index movement, turnover, sectoral performance, and specific stock activity.",,https://www.sharesansar.com/newsdetail/nepse-records-marginal-gain-of-257-points-after-consecutive-losing-sessions-2026-06-10
qwen-qlora,structured_json,invalid_json,6a2f0a578a1c034887d3081b,मानव-वन्यजन्तु द्वन्द्व व्यवस्थापन गर्न ‘टास्क फोर्स’ गठन,बिजनेस – Page 13 – Online Khabar,2026-05-19T05:50:23.000Z,ne,not_relevant,not_applicable,not_applicable,valid_json,invalid_or_truncated_json,S2;S3;S4,,,"यो समाचार मानव-वन्यजन्तु द्वन्द्व व्यवस्थापनका लागि सरकारले गठन गरेको टास्क फोर्सको बारेमा हो, जसको शेयर बजारमा कुनै प्रभाव पर्ने देखिँदैन ।","{""confidenceBand"": ""high"", ""eventType"": ""regulation"", ""evidence"": [""मानव-वन्यजन्तु द्वन्द्व व्यवस्थापनका लागि प्राविधिक समिति (टास्क फोर्स) गठन गरिएको छ ।"", ""कृषि, वन तथा पर्यावरण मन्त्रालयले वन्यजन्तुबाट हुने क्षति नियन्त्रण, नीति तथा कार्यक्रम सुधार र स्थानीय तहमा प्रभावकारी कार्यान्वयनका लागि टास्क फोर्स गठन गरेको हो ।"", ""मानव–वन्यजन्तु द्वन्द्व व्यवस्थापन विशेषज्ञको संयोजकत्वमा १५ सदस्यीय टास्क फोर्स गठन गरिएको मन्त्रालयले जनाएको छ ।""], ""evidenceSentenceIds"": [""S2"", ""S3"", ""S4""], ""impactDirection"": ""uncertain"", ""impactHorizon"": ""medium_term"", ""impactMechanism"": ""regulation"", ""impactScope"": ""sector"", ""language"": ""en"", ""rationale"": ""The formation of a technical committee (task force) for managing human-wildlife conflict indicates a regulatory or policy development that may influence the sector through improved management frameworks."", ""relevance"": ""indirect"", ""sectors"": [""Agriculture"", ""Environment""], ""summary"": ""The Ministry of Agriculture, Forestry and Environment has formed a 15-me",https://www.onlinekhabar.com/2026/05/1934931/task-force-formed-to-manage-human-wildlife-conflict
