priorityScore,id,title,source,publishedAt,language,relevance,eventType,impactDirection,models,reasons,evidenceSentenceIds,symbols,sectors,rationale,url
6,6a2f0a578a1c034887d30842,"IPO for General Public: Sanigad Hydro Limited Issue 46,74,000 Units IPO Shares from Today",ShareSansar,2026-06-01T02:40:00.000Z,en,direct,capital_action,bullish,xlmr-relevance;xlmr-direction;qwen-qlora,xlmr-relevance: direct->indirect; xlmr-direction: bullish->uncertain; qwen direction: bullish->uncertain,S1;S12;S15,SHL,Hydropower,Sanigad Hydro Limited is raising capital through its IPO and has also received a rating upgrade from ICRA Nepal.,https://www.sharesansar.com/newsdetail/ipo-for-general-public-sanigad-hydro-limited-issue-4674000-units-ipo-shares-from-today-2026-06-01
6,6a2f0a578a1c034887d3084e,IPO Issue of Sanigad Hydro Limited Closing Today; Oversubscribed 5.88 Times So Far,ShareSansar,2026-06-04T00:52:00.000Z,en,direct,capital_action,bullish,xlmr-relevance;xlmr-direction;qwen-qlora,xlmr-relevance: direct->indirect; xlmr-direction: bullish->uncertain; qwen direction: bullish->uncertain,S1;S15;S16,SHL,Hydropower,"The IPO of Sanigad Hydro Limited has been oversubscribed 5.88 times and the company's issuer rating has been upgraded by ICRA Nepal, indicating strong investor demand and improved creditworthiness.",https://www.sharesansar.com/newsdetail/ipo-issue-of-sanigad-hydro-limited-closing-today-oversubscribed-588-times-so-far-2026-06-04
6,6a2f0a578a1c034887d30850,ग्लोबल आईएमई बैंकको अगुवाइमा सुपर तमोर जलविद्युत् आयोजनामा १९ अर्ब ऋण सम्झौता,बिजनेस – Page 5 – Online Khabar,2026-06-04T06:43:43.000Z,ne,direct,credit_financing,bullish,xlmr-relevance;xlmr-direction;qwen-qlora,xlmr-relevance: direct->indirect; xlmr-direction: bullish->uncertain; qwen invalid/truncated JSON,S2;S4;S6,ADBL;GBIME;PRVU,Banking;Hydropower,बैंकहरूले ठूलो रकम कर्जा प्रवाह गर्दा ब्याज आम्दानी बढ्ने सम्भावना रहन्छ ।,https://www.onlinekhabar.com/2026/06/1946425/global-ime-bank-leads-19-billion-loan-agreement-for-super-tamor-hydropower-project
6,6a2f0a578a1c034887d30851,१६६ मेगावाटको सुपर तमोर आयोजनालाई जुट्यो १९ अर्ब ऋण,बिजनेस – Page 5 – Online Khabar,2026-06-04T06:49:36.000Z,ne,direct,credit_financing,bullish,xlmr-relevance;xlmr-direction;qwen-qlora,xlmr-relevance: direct->indirect; xlmr-direction: bullish->uncertain; qwen invalid/truncated JSON,S2;S3;S4;S8,GBIME;ADBL,Banking;Hydropower,विभिन्न बैंकहरूले जलविद्युत आयोजनामा ऋण प्रवाह गर्दा उनीहरूको कर्जा विस्तार र ब्याज आम्दानीमा वृद्धि हुन सक्छ ।,https://www.onlinekhabar.com/2026/06/1946442/the-166-mw-super-tamor-project-has-secured-a-loan-of-19-billion
6,6a2f0a578a1c034887d30869,कुमारी बैंकको ‘ईआरपी’ एकीकृत डिजिटल कर्जा प्ल्याटफर्म सञ्चालनमा,बिजनेस – Page 2 – Online Khabar,2026-06-12T08:02:56.000Z,ne,direct,project_operations,bullish,xlmr-relevance;xlmr-direction;qwen-qlora,xlmr-relevance: direct->indirect; xlmr-direction: bullish->uncertain; qwen invalid/truncated JSON,S2;S3;S8,KBL,Banking,नयाँ डिजिटल कर्जा प्ल्याटफर्मको सञ्चालनले बैंकको कर्जा विस्तारमा मद्दत पुग्ने र डिजिटल बैंकिङ सेवा मार्फत राजस्व वृद्धि हुने सम्भावना रहन्छ ।,https://www.onlinekhabar.com/2026/06/1952369/kumari-banks-erp-integrated-digital-lending-platform-launched
6,6a2f0a578a1c034887d3086e,Traditional marketplaces in Nepal’s Tarai are shifting. So are crop yields,The Kathmandu Post - Money,2026-06-13T00:00:00.000Z,en,not_relevant,not_applicable,not_applicable,xlmr-relevance;qwen-qlora,xlmr-relevance: not_relevant->indirect; qwen invalid/truncated JSON,S1,,,"The content focuses on rural agricultural trade dynamics and local market structures in the Tarai region, which does not have a direct or documented mechanism affecting the NEPSE or listed securities.",https://kathmandupost.com/money/2026/06/13/traditional-marketplaces-in-nepal-s-tarai-are-shifting-so-are-crop-yields
5,6a2f0a578a1c034887d30821,सीजी मोटर्सको महामेला एक्स्चेन्ज कार्निभल भृकुटीमण्डपमा सुरु,बिजनेस – Page 12 – Online Khabar,2026-05-20T11:34:01.000Z,ne,not_relevant,not_applicable,not_applicable,qwen-qlora,qwen relevance: not_relevant->direct,S2;S5,,,"यो समाचार सीजी मोटर्सको एउटा प्रवर्द्धनात्मक कार्यक्रम र नयाँ उत्पादन सार्वजनिक गर्ने बारेमा मात्र केन्द्रित छ, जसको नेप्से बजारमा कुनै ठोस प्रभाव पर्ने देखिँदैन।",https://www.onlinekhabar.com/2026/05/1936035/cg-motors-mahamela-exchange-carnival-begins-at-bhrikuti-mandap
5,6a2f0a578a1c034887d3082c,वनप्लसले नयाँ ओलेड ट्याब्लेट चाँडै सार्वजनिक गर्ने,बिजनेस – Page 10 – Online Khabar,2026-05-25T10:53:00.000Z,ne,not_relevant,not_applicable,not_applicable,qwen-qlora,qwen relevance: not_relevant->direct,S1,,,"यो समाचार वनप्लस नामक विदेशी प्रविधि कम्पनीको नयाँ उत्पादनको बारेमा हो, जसको नेपालको सेयर बजारमा कुनै प्रत्यक्ष वा अप्रत्यक्ष प्रभाव देखिँदैन।",https://www.onlinekhabar.com/2026/05/1939253/oneplus-to-launch-new-oled-tablet-soon
5,6a2f0a578a1c034887d30831,"अन्डाको मूल्यवृद्धि रोकिएन, फेरि बढाइयो क्रेटमा १५ रुपैयाँ",बिजनेस – Page 10 – Online Khabar,2026-05-26T08:42:51.000Z,ne,not_relevant,not_applicable,not_applicable,qwen-qlora,qwen relevance: not_relevant->direct,S2;S4;S11,,,"यो समाचार अन्डाको मूल्य वृद्धि सँग सम्बन्धित छ, जसको नेप्से (NEPSE) बजार वा कुनै सूचीबद्ध कम्पनीमा प्रत्यक्ष वा अप्रत्यक्ष प्रभाव पर्ने कुनै ठोस संयन्त्र देखिँदैन ।",https://www.onlinekhabar.com/2026/05/1939901/egg-prices-continue-to-rise-increased-again-by-rs-15-per-crate
5,6a2f0a578a1c034887d30839,यातायात व्यवसायी र ट्राफिक प्रहरीको आह्वान : मापसे/लापसे गरी सवारी नचलाऔं,बिजनेस – Page 9 – Online Khabar,2026-05-28T08:41:30.000Z,ne,not_relevant,not_applicable,not_applicable,qwen-qlora,qwen relevance: not_relevant->direct,S2;S3,,,यो समाचार यातायात क्षेत्रको परिचालन र सुरक्षासँग सम्बन्धित सामान्य सूचना भएकोले यसले नेप्से (NEPSE) बजार वा कुनै पनि सूचीबद्ध कम्पनीको मूल्यमा प्रत्यक्ष वा अप्रत्यक्ष प्रभाव पार्ने कुनै प्रमाण देखिँदैन।,https://www.onlinekhabar.com/2026/05/1941393/transport-entrepreneurs-and-traffic-police-appeal-dont-drive-drunk-negligently
5,6a2f0a578a1c034887d3085e,बुद्ध एयरले ‘रोयल क्लब’ सदस्यलाई १२ सयसम्म छुट दिने,बिजनेस – Page 4 – Online Khabar,2026-06-08T09:15:34.000Z,ne,not_relevant,not_applicable,not_applicable,qwen-qlora,qwen relevance: not_relevant->direct,S2,,,"यो समाचार बुद्ध एयरको प्रवर्द्धनात्मक (promotional) गतिविधिसँग सम्बन्धित छ, जसको नेप्से (NEPSE) वा कुनै पनि सूचीकृत कम्पनीको वित्तीय अवस्थामा कुनै प्रत्यक्ष वा अप्रत्यक्ष प्रभाव देखिँदैन ।",https://www.onlinekhabar.com/2026/06/1949459/buddha-air-will-offer-up-to-1200-discount-to-royal-club-members
4,6a2f0a578a1c034887d3083c,विदेशी विनिमय सञ्चितिलाई ‘सोभरिन वेल्थ फन्ड’ परिचालन,बिजनेस – Page 8 – Online Khabar,2026-05-29T10:58:50.000Z,ne,indirect,fiscal_macroeconomic,uncertain,xlmr-relevance;qwen-qlora,xlmr-relevance: indirect->direct; qwen relevance: indirect->direct,S2;S3;S4,,,सरकारले विदेशी विनिमय सञ्चितिबाट सोभरिन वेल्थ फन्ड परिचालन गर्ने नीति लिएमा यसले देशको वित्तीय तरलता र लगानीको वातावरणमा प्रभाव पार्न सक्छ ।,https://www.onlinekhabar.com/2026/05/1942322/mobilizing-foreign-exchange-reserves-through-the-sovereign-wealth-fund
4,6a2f0a578a1c034887d30844,"बजेटप्रति सेयर लगानीकर्ता निराश, तीन समूहगत सूचकमा उच्च प्रभाव",बिजनेस – Page 6 – Online Khabar,2026-06-01T09:35:31.000Z,ne,direct,fiscal_macroeconomic,bearish,xlmr-direction;qwen-qlora,xlmr-direction: bearish->uncertain; qwen invalid/truncated JSON,S2;S4;S5;S7;S15,NRIC,Non-Life Insurance;Others;Trading,"बजेटमा पूँजीगत लाभकर अल्पकालीनका लागि १० प्रतिशत र दीर्घकालीनका लागि साढे ७ प्रतिशत कायम गरिएको र केही आम्दानीमा थप करको आशय भएकाले लगानीकर्ताहरू असन्तुष्ट भएका छन्, जसले बजारमा गिरावट निम्त्याएको छ ।",https://www.onlinekhabar.com/2026/06/1944391/stock-investors-disappointed-with-budget-high-impact-on-three-group-indicators
4,6a2f0a578a1c034887d30845,पीपीपी मोडेलमा वेस्ट सेती ४०० केभी प्रसारण आयोजना अघि बढ्ने,बिजनेस – Page 6 – Online Khabar,2026-06-01T13:05:22.000Z,ne,indirect,sector_industry,bullish,xlmr-direction;qwen-qlora,xlmr-direction: bullish->uncertain; qwen invalid/truncated JSON,S2;S3;S4,,Hydropower,वेस्ट सेती ४०० केभी प्रसारण लाइन जस्ता ठूला पूर्वाधार आयोजनाले जलविद्युत् उत्पादन र प्रसारण प्रणालीबीचको अवरोध कम गरी ऊर्जा क्षेत्रको उत्पादन क्षमता र बिक्री क्षमतामा सकारात्मक प्रभाव पार्न सक्छ ।,https://www.onlinekhabar.com/2026/06/1944562/west-seti-400-kv-transmission-project-to-move-forward-under-ppp-model
4,6a31634a8dd189ed627e3606,Fire Incident Disrupts 5 MW Power Production at Jhapa Energy Limited,ShareSansar,2026-06-02T04:23:00.000Z,en,direct,sector_industry,bearish,xlmr-direction;qwen-qlora,xlmr-direction: bearish->uncertain; qwen direction: bearish->uncertain,S1;S2;S3,JHAPA,Hydropower,The selected evidence reports a sector or company operating condition relevant to listed firms. This makes the record direct to NEPSE and supports the sector_industry label through the operations or capacity mechanism.,https://www.sharesansar.com/newsdetail/fire-incident-disrupts-5-mw-power-production-at-jhapa-energy-limited-2026-06-02
4,6a31634a8dd189ed627e3652,मौद्रिक नीतिका लागि राष्ट्र बैंकले माग्यो सुझाव,बिजनेस – Page 5 – Online Khabar,2026-06-05T07:51:47.000Z,mixed,indirect,monetary_liquidity,uncertain,xlmr-relevance;qwen-qlora,xlmr-relevance: indirect->direct; qwen relevance: indirect->direct,S1;S2;S3,,Banking,"The selected evidence reports liquidity, deposits, rates, or monetary-policy conditions relevant to market financing. This makes the record indirect to NEPSE and supports the monetary_liquidity label through the financing and liquidity mechanism.",https://www.onlinekhabar.com/2026/06/1947212/nrb-seeks-suggestions-for-monetary-policy
3,6a31634a8dd189ed627e3634,ब्याजदर करिडोर प्रभावकारी बनाउन स्थायी निक्षेप सुविधा अनिवार्य,बिजनेस – Page 6 – Online Khabar,2026-06-02T09:14:47.000Z,ne,indirect,monetary_liquidity,uncertain,xlmr-relevance;qwen-qlora,xlmr-relevance: indirect->not_relevant; qwen invalid/truncated JSON,S1;S2;S3,,Banking,"छानिएका प्रमाण वाक्यहरूले तरलता, ब्याजदर वा मौद्रिक नीतिसम्बन्धी अवस्था देखाउँछन्। यसले NEPSE सँग indirect सम्बन्ध राख्छ र सम्भावित प्रभावको संयन्त्र वित्तीय तरलता हो।",https://www.onlinekhabar.com/2026/06/1945105/fixed-deposit-facility-mandatory-to-make-interest-rate-corridor-effective
3,6a31634a8dd189ed627e3646,७७ दिनका लागि बैंकिङ प्रणालीबाट ७० अर्ब खिच्दै राष्ट्र बैंक,बिजनेस – Page 5 – Online Khabar,2026-06-05T06:03:20.000Z,ne,indirect,monetary_liquidity,uncertain,qwen-qlora,qwen relevance: indirect->direct; qwen direction: uncertain->bearish,S1;S2;S3,,Banking;Finance,"छानिएका प्रमाण वाक्यहरूले तरलता, ब्याजदर वा मौद्रिक नीतिसम्बन्धी अवस्था देखाउँछन्। यसले NEPSE सँग indirect सम्बन्ध राख्छ र सम्भावित प्रभावको संयन्त्र वित्तीय तरलता हो।",https://www.onlinekhabar.com/2026/06/1947105/nepal-rastra-bank-withdraws-70-billion-from-the-banking-system-for-77-days
3,6a2f0a578a1c034887d3085d,"इप्पानमा विधान संशोधन विवाद चर्कियो, दुलालको आरोपको अध्यक्ष कार्कीद्वारा खण्डन",बिजनेस – Page 4 – Online Khabar,2026-06-08T08:45:12.000Z,ne,indirect,sector_industry,uncertain,xlmr-relevance;qwen-qlora,xlmr-relevance: indirect->not_relevant; qwen invalid/truncated JSON,S2;S3;S5;S11,,Hydropower,इप्पान जलविद्युत क्षेत्रका ७०० भन्दा बढी कम्पनीहरूको प्रतिनिधित्व गर्ने संस्था हो । यसको विधान संशोधन र नेतृत्व छनोटको प्रक्रियाले क्षेत्रको समग्र नीतिगत पैरवी र स्थिरतामा प्रभाव पार्न सक्ने सम्भावना रहन्छ ।,https://www.onlinekhabar.com/2026/06/1949387/controversy-over-amendment-to-ippan-constitution-flares-up-chairman-karki-refutes-dulals-allegations
3,6a2f0a578a1c034887d30865,NEPSE Records Marginal Gain of 2.57 Points After Consecutive Losing Sessions,ShareSansar,2026-06-10T09:44:00.000Z,en,direct,market_trading,neutral,xlmr-direction;finbert-english-direction;qwen-qlora,xlmr-direction: neutral->bearish; finbert-english-direction: neutral->bullish; qwen direction: neutral->bullish,S1;S5;S9;S13;S15;S17;S14;S10,AKJCL;KHPL;PBLD86,Hydropower;Trading,"The document reports the daily trading performance of the Nepal Stock Exchange (NEPSE), including index movement, turnover, sectoral performance, and specific stock activity.",https://www.sharesansar.com/newsdetail/nepse-records-marginal-gain-of-257-points-after-consecutive-losing-sessions-2026-06-10
2,6a2f0a578a1c034887d3081e,सुशासन र मध्यम वर्गको विस्तार सरकारको मुख्य प्राथमिकता : अर्थमन्त्री वाग्ले,बिजनेस – Page 12 – Online Khabar,2026-05-19T12:25:50.000Z,ne,indirect,fiscal_macroeconomic,uncertain,xlmr-relevance,xlmr-relevance: indirect->not_relevant,S4;S6;S7;S9,,,"अर्थमन्त्रीले सुशासन, भ्रष्टाचार नियन्त्रण र मध्यम वर्गको विस्तार जस्ता वृहत आर्थिक नीतिगत प्राथमिकताहरू प्रस्तुत गरेका छन्, जसले देशको समग्र आर्थिक विकास र बजारको वातावरणमा अप्रत्यक्ष प्रभाव पार्न सक्छ ।",https://www.onlinekhabar.com/2026/05/1935296/good-governance-and-expansion-of-middle-class-are-the-governments-main-priorities-finance-minister-wagle
2,6a2f0a578a1c034887d3082d,सहकारी बेथिति जाँचबुझ आयोगको प्रतिवेदन सार्वजनिक गर्ने सरकारको निर्णय,बिजनेस – Page 10 – Online Khabar,2026-05-25T11:04:29.000Z,ne,indirect,regulation,uncertain,qwen-qlora,qwen relevance: indirect->direct,S2;S3;S4,,Others,सहकारीमा भएको बेथिति जाँचबुझ आयोगको प्रतिवेदन सार्वजनिक गर्ने सरकारको निर्णयले उक्त क्षेत्रको नियमन र समग्र वित्तीय वातावरणमा प्रभाव पार्न सक्छ ।,https://www.onlinekhabar.com/2026/05/1939272/governments-decision-to-make-public-the-report-of-the-cooperatives-inquiry-commission
2,6a2f0a578a1c034887d30840,"NEPSE Concludes The Week With 0.86% Gain and Turnover of Rs 16.87 Arba; Weekly Summary with Sector Comparison, Major Highlights, and More",ShareSansar,2026-05-31T03:08:00.000Z,en,direct,market_trading,bullish,xlmr-direction;qwen-qlora,xlmr-direction: bullish->bearish; qwen invalid/truncated JSON,S2;S6;S10;S11,,,The weekly index increase of 0.86% and technical indicators like the RSI and EMAs suggest a bullish sentiment in the market.,https://www.sharesansar.com/newsdetail/nepse-concludes-the-week-with-086-gain-and-turnover-of-rs-1687-arba-weekly-summary-with-sector-comparison-major-highlights-and-more-2026-05-31
2,6a2f0a578a1c034887d3085b,भारतमा क्यूआरबाट भुक्तानी गर्ने नेपाली सपना अझै अधुरो,बिजनेस – Page 4 – Online Khabar,2026-06-07T16:05:00.000Z,ne,indirect,sector_industry,uncertain,xlmr-relevance,xlmr-relevance: indirect->not_relevant,S3;S4;S7;S9,,Banking;Finance,अन्तरदेशीय डिजिटल भुक्तानी र पी-टु-पी रेमिट्यान्स सेवाको सुरुवातले बैंक तथा वित्तीय संस्थाहरूको डिजिटल कारोबार र सेवाको विस्तारमा सहयोग पुर्‍याउन सक्छ ।,https://www.onlinekhabar.com/2026/06/1948879/nepali-dream-of-making-payments-through-qr-in-india-still-unfulfilled
2,6a2f0a578a1c034887d30860,"IMF flags rising crypto adoption in Nepal despite ban, urges close monitoring",The Kathmandu Post - Money,2026-06-09T00:00:00.000Z,en,indirect,regulation,uncertain,qwen-qlora,qwen relevance: indirect->direct,S1;S2;S3,,Others,The IMF has urged Nepal to develop a regulatory framework for cryptocurrencies to protect financial stability and prevent the circumvention of capital controls and deposit outflows.,https://kathmandupost.com/money/2026/06/09/imf-flags-rising-crypto-adoption-in-nepal-despite-ban-urges-close-monitoring
1,6a2f0a578a1c034887d3081b,मानव-वन्यजन्तु द्वन्द्व व्यवस्थापन गर्न ‘टास्क फोर्स’ गठन,बिजनेस – Page 13 – Online Khabar,2026-05-19T05:50:23.000Z,ne,not_relevant,not_applicable,not_applicable,qwen-qlora,qwen invalid/truncated JSON,S2;S3;S4,,,"यो समाचार मानव-वन्यजन्तु द्वन्द्व व्यवस्थापनका लागि सरकारले गठन गरेको टास्क फोर्सको बारेमा हो, जसको शेयर बजारमा कुनै प्रभाव पर्ने देखिँदैन ।",https://www.onlinekhabar.com/2026/05/1934931/task-force-formed-to-manage-human-wildlife-conflict
1,6a2f0a578a1c034887d3081d,सामसङ ग्यालेक्सी एस-२६ प्लसमा २३ हजार रुपैयाँ ‘क्यासब्याक’,बिजनेस – Page 12 – Online Khabar,2026-05-19T11:43:13.000Z,ne,not_relevant,not_applicable,not_applicable,qwen-qlora,qwen invalid/truncated JSON,S2,,,"यो समाचार सामसङ नेपालको एउटा उपभोक्ता इलेक्ट्रोनिक्स प्रवर्द्धन (promotion) सँग सम्बन्धित छ, जसको नेपालको सेयर बजार (NEPSE) मा कुनै प्रत्यक्ष वा अप्रत्यक्ष प्रभाव पर्दैन ।",https://www.onlinekhabar.com/2026/05/1935233/rs-23000-cashback-on-samsung-galaxy-s26-plus
1,6a2f0a578a1c034887d30820,गोलाप्रथामा छनोट नभएकाहरू इजरायल जान नयाँ विज्ञापन कुर्नुपर्ने,बिजनेस – Page 12 – Online Khabar,2026-05-20T05:23:40.000Z,ne,not_relevant,not_applicable,not_applicable,qwen-qlora,qwen invalid/truncated JSON,S2;S3;S11,,,"यो समाचार वैदेशिक रोजगारी र श्रम मन्त्रालयको प्रक्रियासँग सम्बन्धित छ, जसको नेपालको शेयर बजार (NEPSE) मा कुनै प्रत्यक्ष वा अप्रत्यक्ष प्रभाव पर्ने देखिँदैन ।",https://www.onlinekhabar.com/2026/05/1935614/those-not-selected-in-the-lottery-must-wait-for-a-new-advertisement-to-go-to-israel
1,6a2f0a578a1c034887d30822,रिसोर्टको शेयर लिएर पैसा नदिएको कसुरमा भोटेकोशी हेली रिसोर्टका सञ्चालक फेरि पक्राउ,बिजनेस – Page 12 – Online Khabar,2026-05-20T14:27:06.000Z,ne,not_relevant,not_applicable,not_applicable,qwen-qlora,qwen invalid/truncated JSON,S2;S6;S10,,,"यो समाचार एक निजी रिसोर्टका सञ्चालकको आपराधिक कारबाही र नेपाल बैंक लिमिटेडको एक ऋण असुली प्रक्रियासँग सम्बन्धित छ, जसले नेप्से बजार वा सूचीकृत कम्पनीहरूको समग्र वित्तीय अवस्थामा प्रत्यक्ष वा अप्रत्यक्ष प्रभाव पार्ने कुनै ठोस आधार देखिँदैन।",https://www.onlinekhabar.com/2026/05/1936202/bhotekoshi-heli-resort-owner-arrested-again-for-taking-resort-shares-and-not-paying
